สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
53,53,%all%,%all%,0
53,53,แพร่,แพร่,0
53,53,เชียงใหม่,เชียงใหม่,0
53,53,อุทัยธานี,อุทัยธานี,0
53,53,อุดรธานี,อุดรธานี,0
53,53,อำนาจเจริญ,อำนาจเจริญ,0
53,53,สุรินทร์,สุรินทร์,0
53,53,สุราษฎร์ธานี,สุราษฎร์ธานี,0
53,53,สุพรรณบุรี,สุพรรณบุรี,0
53,53,สตูล,สตูล,0
53,53,สงขลา,สงขลา,0
53,53,สกลนคร,สกลนคร,0
53,53,ศรีสะเกษ,ศรีสะเกษ,0
53,53,ยโสธร,ยโสธร,0
53,53,ยะลา,ยะลา,0
53,53,มุกดาหาร,มุกดาหาร,0
53,53,มหาสารคาม,มหาสารคาม,0
53,53,พัทลุง,พัทลุง,0
53,53,พะเยา,พะเยา,0
53,53,ปัตตานี,ปัตตานี,0
53,53,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
53,53,ปทุมธานี,ปทุมธานี,0
53,53,บุรีรัมย์,บุรีรัมย์,0
53,53,บึงกาฬ,บึงกาฬ,0
53,53,นนทบุรี,นนทบุรี,0
53,53,นครราชสีมา,นครราชสีมา,0
53,53,นครพนม,นครพนม,0
53,53,ตาก,ตาก,0
53,53,ตรัง,ตรัง,0
53,53,ชัยภูมิ,ชัยภูมิ,0
53,53,ฉะเชิงเทรา,ฉะเชิงเทรา,0
53,53,จันทบุรี,จันทบุรี,0
53,53,ขอนแก่น,ขอนแก่น,0
53,53,กำแพงเพชร,กำแพงเพชร,0
53,53,กาญจนบุรี,กาญจนบุรี,0
53,53,กรุงเทพมหานคร,กรุงเทพมหานคร,0
52,52,%all%,%all%,1010
52,52,ไม่ระบุ,ไม่ระบุ,0
52,52,แม่ฮ่องสอน,แม่ฮ่องสอน,20
52,52,แพร่,แพร่,3
52,52,เลย,เลย,9
52,52,เพชรบูรณ์,เพชรบูรณ์,5
52,52,เพชรบุรี,เพชรบุรี,10
52,52,เชียงใหม่,เชียงใหม่,0
52,52,เชียงราย,เชียงราย,59
52,52,อ่างทอง,อ่างทอง,9
52,52,อุบลราชธานี,อุบลราชธานี,109
52,52,อุทัยธานี,อุทัยธานี,4
52,52,อุตรดิตถ์,อุตรดิตถ์,3
52,52,อุดรธานี,อุดรธานี,0
52,52,อำนาจเจริญ,อำนาจเจริญ,3
52,52,หนองบัวลำภู,หนองบัวลำภู,4
52,52,หนองคาย,หนองคาย,5
52,52,สุโขทัย,สุโขทัย,2
52,52,สุรินทร์,สุรินทร์,15
52,52,สุราษฎร์ธานี,สุราษฎร์ธานี,33
52,52,สุพรรณบุรี,สุพรรณบุรี,9
52,52,สิงห์บุรี,สิงห์บุรี,3
52,52,สระแก้ว,สระแก้ว,4
52,52,สระบุรี,สระบุรี,13
52,52,สมุทรสาคร,สมุทรสาคร,2
52,52,สมุทรสงคราม,สมุทรสงคราม,1
52,52,สมุทรปราการ,สมุทรปราการ,15
52,52,สตูล,สตูล,12
52,52,สงขลา,สงขลา,40
52,52,สกลนคร,สกลนคร,5
52,52,ศรีสะเกษ,ศรีสะเกษ,14
52,52,ลำพูน,ลำพูน,5
52,52,ลำปาง,ลำปาง,1
52,52,ลพบุรี,ลพบุรี,1
52,52,ร้อยเอ็ด,ร้อยเอ็ด,32
52,52,ราชบุรี,ราชบุรี,9
52,52,ระยอง,ระยอง,12
52,52,ระนอง,ระนอง,1
52,52,ยโสธร,ยโสธร,15
52,52,ยะลา,ยะลา,26
52,52,มุกดาหาร,มุกดาหาร,2
52,52,มหาสารคาม,มหาสารคาม,35
52,52,ภูเก็ต,ภูเก็ต,12
52,52,พิษณุโลก,พิษณุโลก,4
52,52,พิจิตร,พิจิตร,3
52,52,พัทลุง,พัทลุง,17
52,52,พังงา,พังงา,3
52,52,พะเยา,พะเยา,11
52,52,พระนครศรีอยุธยา,พระนครศรีอยุธยา,13
52,52,ปัตตานี,ปัตตานี,25
52,52,ปราจีนบุรี,ปราจีนบุรี,5
52,52,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11
52,52,ปทุมธานี,ปทุมธานี,27
