Areas,Count,Month,Type,Year,Disease
Pathum Thani,0,Feb,Deaths,2017,Streptococcus suis
Saraburi,0,Feb,Deaths,2017,Streptococcus suis
Sing Buri,0,Feb,Deaths,2017,Streptococcus suis
ZONE:05,0,Feb,Deaths,2017,Streptococcus suis
Kanchanaburi,0,Feb,Deaths,2017,Streptococcus suis
Nakhon Pathom,0,Feb,Deaths,2017,Streptococcus suis
Phetchaburi,0,Feb,Deaths,2017,Streptococcus suis
Prachuap Khiri Khan,0,Feb,Deaths,2017,Streptococcus suis
Ratchaburi,0,Feb,Deaths,2017,Streptococcus suis
Samut Sakhon,0,Feb,Deaths,2017,Streptococcus suis
Samut Songkhram,0,Feb,Deaths,2017,Streptococcus suis
Suphan Buri,0,Feb,Deaths,2017,Streptococcus suis
ZONE:06,0,Feb,Deaths,2017,Streptococcus suis
Chachoengsao,0,Feb,Deaths,2017,Streptococcus suis
Chanthaburi,0,Feb,Deaths,2017,Streptococcus suis
Chon Buri,0,Feb,Deaths,2017,Streptococcus suis
Prachin Buri,0,Feb,Deaths,2017,Streptococcus suis
Rayong,0,Feb,Deaths,2017,Streptococcus suis
Sa Kaeo,0,Feb,Deaths,2017,Streptococcus suis
Samut Prakan,0,Feb,Deaths,2017,Streptococcus suis
Trat,0,Feb,Deaths,2017,Streptococcus suis
ZONE:07,0,Feb,Deaths,2017,Streptococcus suis
Kalasin,0,Feb,Deaths,2017,Streptococcus suis
Khon Kaen,0,Feb,Deaths,2017,Streptococcus suis
Maha Sarakham,0,Feb,Deaths,2017,Streptococcus suis
Roi Et,0,Feb,Deaths,2017,Streptococcus suis
ZONE:08,0,Feb,Deaths,2017,Streptococcus suis
Bungkan,0,Feb,Deaths,2017,Streptococcus suis
Loei,0,Feb,Deaths,2017,Streptococcus suis
Nakhon Phanom,0,Feb,Deaths,2017,Streptococcus suis
Nong Bua Lam Phu,0,Feb,Deaths,2017,Streptococcus suis
Nong Khai,0,Feb,Deaths,2017,Streptococcus suis
Sakon Nakhon,0,Feb,Deaths,2017,Streptococcus suis
Udon Thani,0,Feb,Deaths,2017,Streptococcus suis
ZONE:09,0,Feb,Deaths,2017,Streptococcus suis
Buri Ram,0,Feb,Deaths,2017,Streptococcus suis
Chaiyaphum,0,Feb,Deaths,2017,Streptococcus suis
Nakhon Ratchasima,0,Feb,Deaths,2017,Streptococcus suis
Surin,0,Feb,Deaths,2017,Streptococcus suis
ZONE:10,0,Feb,Deaths,2017,Streptococcus suis
Amnat Charoen,0,Feb,Deaths,2017,Streptococcus suis
Mukdahan,0,Feb,Deaths,2017,Streptococcus suis
Si Sa Ket,0,Feb,Deaths,2017,Streptococcus suis
Ubon Ratchathani,0,Feb,Deaths,2017,Streptococcus suis
Yasothon,0,Feb,Deaths,2017,Streptococcus suis
ZONE:11,0,Feb,Deaths,2017,Streptococcus suis
Chumphon,0,Feb,Deaths,2017,Streptococcus suis
Krabi,0,Feb,Deaths,2017,Streptococcus suis
Nakhon Si Thammarat,0,Feb,Deaths,2017,Streptococcus suis
Phangnga,0,Feb,Deaths,2017,Streptococcus suis
Phuket,0,Feb,Deaths,2017,Streptococcus suis
Ranong,0,Feb,Deaths,2017,Streptococcus suis
Surat Thani,0,Feb,Deaths,2017,Streptococcus suis
ZONE:12,0,Feb,Deaths,2017,Streptococcus suis
Narathiwat,0,Feb,Deaths,2017,Streptococcus suis
Pattani,0,Feb,Deaths,2017,Streptococcus suis
Phatthalung,0,Feb,Deaths,2017,Streptococcus suis
Satun,0,Feb,Deaths,2017,Streptococcus suis
Songkhla,0,Feb,Deaths,2017,Streptococcus suis
Trang,0,Feb,Deaths,2017,Streptococcus suis
Yala,0,Feb,Deaths,2017,Streptococcus suis
ZONE:13,0,Feb,Deaths,2017,Streptococcus suis
Bangkok,0,Feb,Deaths,2017,Streptococcus suis
Total,30,Mar,Cases,2017,Streptococcus suis
ZONE:01,3,Mar,Cases,2017,Streptococcus suis
Chiang Mai,0,Mar,Cases,2017,Streptococcus suis
Chiang Rai,0,Mar,Cases,2017,Streptococcus suis
Lampang,0,Mar,Cases,2017,Streptococcus suis
Lamphun,0,Mar,Cases,2017,Streptococcus suis
Mae Hong Son,0,Mar,Cases,2017,Streptococcus suis
Nan,3,Mar,Cases,2017,Streptococcus suis
Phayao,0,Mar,Cases,2017,Streptococcus suis
Phrae,0,Mar,Cases,2017,Streptococcus suis
ZONE:02,11,Mar,Cases,2017,Streptococcus suis
Phetchabun,6,Mar,Cases,2017,Streptococcus suis
Phitsanulok,0,Mar,Cases,2017,Streptococcus suis
Sukhothai,1,Mar,Cases,2017,Streptococcus suis
Tak,1,Mar,Cases,2017,Streptococcus suis
Uttaradit,3,Mar,Cases,2017,Streptococcus suis
ZONE:03,4,Mar,Cases,2017,Streptococcus suis
Chai Nat,0,Mar,Cases,2017,Streptococcus suis
Kamphaeng Phet,0,Mar,Cases,2017,Streptococcus suis
Nakhon Sawan,4,Mar,Cases,2017,Streptococcus suis
Phichit,0,Mar,Cases,2017,Streptococcus suis
Uthai Thani,0,Mar,Cases,2017,Streptococcus suis
ZONE:04,2,Mar,Cases,2017,Streptococcus suis
Ang Thong,0,Mar,Cases,2017,Streptococcus suis
Lop Buri,2,Mar,Cases,2017,Streptococcus suis
Nakhon Nayok,0,Mar,Cases,2017,Streptococcus suis
Nonthaburi,0,Mar,Cases,2017,Streptococcus suis
P.Nakhon S.Ayutthaya,0,Mar,Cases,2017,Streptococcus suis
Pathum Thani,0,Mar,Cases,2017,Streptococcus suis
Saraburi,0,Mar,Cases,2017,Streptococcus suis
Sing Buri,0,Mar,Cases,2017,Streptococcus suis
ZONE:05,0,Mar,Cases,2017,Streptococcus suis
Kanchanaburi,0,Mar,Cases,2017,Streptococcus suis
Nakhon Pathom,0,Mar,Cases,2017,Streptococcus suis
Phetchaburi,0,Mar,Cases,2017,Streptococcus suis
Prachuap Khiri Khan,0,Mar,Cases,2017,Streptococcus suis
Ratchaburi,0,Mar,Cases,2017,Streptococcus suis
Samut Sakhon,0,Mar,Cases,2017,Streptococcus suis
Samut Songkhram,0,Mar,Cases,2017,Streptococcus suis
Suphan Buri,0,Mar,Cases,2017,Streptococcus suis
ZONE:06,3,Mar,Cases,2017,Streptococcus suis
Chachoengsao,0,Mar,Cases,2017,Streptococcus suis
Chanthaburi,0,Mar,Cases,2017,Streptococcus suis
Chon Buri,0,Mar,Cases,2017,Streptococcus suis
Prachin Buri,2,Mar,Cases,2017,Streptococcus suis
Rayong,0,Mar,Cases,2017,Streptococcus suis
Sa Kaeo,1,Mar,Cases,2017,Streptococcus suis
Samut Prakan,0,Mar,Cases,2017,Streptococcus suis
Trat,0,Mar,Cases,2017,Streptococcus suis
ZONE:07,0,Mar,Cases,2017,Streptococcus suis
Kalasin,0,Mar,Cases,2017,Streptococcus suis
Khon Kaen,0,Mar,Cases,2017,Streptococcus suis
Maha Sarakham,0,Mar,Cases,2017,Streptococcus suis
Roi Et,0,Mar,Cases,2017,Streptococcus suis
ZONE:08,0,Mar,Cases,2017,Streptococcus suis
Bungkan,0,Mar,Cases,2017,Streptococcus suis
Loei,0,Mar,Cases,2017,Streptococcus suis
Nakhon Phanom,0,Mar,Cases,2017,Streptococcus suis
Nong Bua Lam Phu,0,Mar,Cases,2017,Streptococcus suis
Nong Khai,0,Mar,Cases,2017,Streptococcus suis
Sakon Nakhon,0,Mar,Cases,2017,Streptococcus suis
Udon Thani,0,Mar,Cases,2017,Streptococcus suis
ZONE:09,7,Mar,Cases,2017,Streptococcus suis
Buri Ram,0,Mar,Cases,2017,Streptococcus suis
Chaiyaphum,0,Mar,Cases,2017,Streptococcus suis
Nakhon Ratchasima,7,Mar,Cases,2017,Streptococcus suis
Surin,0,Mar,Cases,2017,Streptococcus suis
ZONE:10,0,Mar,Cases,2017,Streptococcus suis
Amnat Charoen,0,Mar,Cases,2017,Streptococcus suis
Mukdahan,0,Mar,Cases,2017,Streptococcus suis
Si Sa Ket,0,Mar,Cases,2017,Streptococcus suis
Ubon Ratchathani,0,Mar,Cases,2017,Streptococcus suis
Yasothon,0,Mar,Cases,2017,Streptococcus suis
ZONE:11,0,Mar,Cases,2017,Streptococcus suis
Chumphon,0,Mar,Cases,2017,Streptococcus suis
Krabi,0,Mar,Cases,2017,Streptococcus suis
Nakhon Si Thammarat,0,Mar,Cases,2017,Streptococcus suis
Phangnga,0,Mar,Cases,2017,Streptococcus suis
Phuket,0,Mar,Cases,2017,Streptococcus suis
Ranong,0,Mar,Cases,2017,Streptococcus suis
Surat Thani,0,Mar,Cases,2017,Streptococcus suis
ZONE:12,0,Mar,Cases,2017,Streptococcus suis
Narathiwat,0,Mar,Cases,2017,Streptococcus suis
Pattani,0,Mar,Cases,2017,Streptococcus suis
Phatthalung,0,Mar,Cases,2017,Streptococcus suis
Satun,0,Mar,Cases,2017,Streptococcus suis
Songkhla,0,Mar,Cases,2017,Streptococcus suis
Trang,0,Mar,Cases,2017,Streptococcus suis
Yala,0,Mar,Cases,2017,Streptococcus suis
ZONE:13,0,Mar,Cases,2017,Streptococcus suis
Bangkok,0,Mar,Cases,2017,Streptococcus suis
Total,2,Mar,Deaths,2017,Streptococcus suis
ZONE:01,0,Mar,Deaths,2017,Streptococcus suis
Chiang Mai,0,Mar,Deaths,2017,Streptococcus suis
Chiang Rai,0,Mar,Deaths,2017,Streptococcus suis
Lampang,0,Mar,Deaths,2017,Streptococcus suis
Lamphun,0,Mar,Deaths,2017,Streptococcus suis
Mae Hong Son,0,Mar,Deaths,2017,Streptococcus suis
Nan,0,Mar,Deaths,2017,Streptococcus suis
Phayao,0,Mar,Deaths,2017,Streptococcus suis
Phrae,0,Mar,Deaths,2017,Streptococcus suis
ZONE:02,0,Mar,Deaths,2017,Streptococcus suis
Phetchabun,0,Mar,Deaths,2017,Streptococcus suis
Phitsanulok,0,Mar,Deaths,2017,Streptococcus suis
Sukhothai,0,Mar,Deaths,2017,Streptococcus suis
Tak,0,Mar,Deaths,2017,Streptococcus suis
Uttaradit,0,Mar,Deaths,2017,Streptococcus suis
ZONE:03,0,Mar,Deaths,2017,Streptococcus suis
Chai Nat,0,Mar,Deaths,2017,Streptococcus suis
Kamphaeng Phet,0,Mar,Deaths,2017,Streptococcus suis
Nakhon Sawan,0,Mar,Deaths,2017,Streptococcus suis
Phichit,0,Mar,Deaths,2017,Streptococcus suis
Uthai Thani,0,Mar,Deaths,2017,Streptococcus suis
ZONE:04,0,Mar,Deaths,2017,Streptococcus suis
Ang Thong,0,Mar,Deaths,2017,Streptococcus suis
Lop Buri,0,Mar,Deaths,2017,Streptococcus suis
Nakhon Nayok,0,Mar,Deaths,2017,Streptococcus suis
Nonthaburi,0,Mar,Deaths,2017,Streptococcus suis
P.Nakhon S.Ayutthaya,0,Mar,Deaths,2017,Streptococcus suis
Pathum Thani,0,Mar,Deaths,2017,Streptococcus suis
Saraburi,0,Mar,Deaths,2017,Streptococcus suis
Sing Buri,0,Mar,Deaths,2017,Streptococcus suis
ZONE:05,0,Mar,Deaths,2017,Streptococcus suis
Kanchanaburi,0,Mar,Deaths,2017,Streptococcus suis
Nakhon Pathom,0,Mar,Deaths,2017,Streptococcus suis
Phetchaburi,0,Mar,Deaths,2017,Streptococcus suis
Prachuap Khiri Khan,0,Mar,Deaths,2017,Streptococcus suis
Ratchaburi,0,Mar,Deaths,2017,Streptococcus suis
Samut Sakhon,0,Mar,Deaths,2017,Streptococcus suis
Samut Songkhram,0,Mar,Deaths,2017,Streptococcus suis
Suphan Buri,0,Mar,Deaths,2017,Streptococcus suis
ZONE:06,0,Mar,Deaths,2017,Streptococcus suis
Chachoengsao,0,Mar,Deaths,2017,Streptococcus suis
Chanthaburi,0,Mar,Deaths,2017,Streptococcus suis
Chon Buri,0,Mar,Deaths,2017,Streptococcus suis
Prachin Buri,0,Mar,Deaths,2017,Streptococcus suis
Rayong,0,Mar,Deaths,2017,Streptococcus suis
Sa Kaeo,0,Mar,Deaths,2017,Streptococcus suis
Samut Prakan,0,Mar,Deaths,2017,Streptococcus suis
Trat,0,Mar,Deaths,2017,Streptococcus suis
ZONE:07,0,Mar,Deaths,2017,Streptococcus suis
Kalasin,0,Mar,Deaths,2017,Streptococcus suis
Khon Kaen,0,Mar,Deaths,2017,Streptococcus suis
Maha Sarakham,0,Mar,Deaths,2017,Streptococcus suis
Roi Et,0,Mar,Deaths,2017,Streptococcus suis
ZONE:08,0,Mar,Deaths,2017,Streptococcus suis
Bungkan,0,Mar,Deaths,2017,Streptococcus suis
Loei,0,Mar,Deaths,2017,Streptococcus suis
Nakhon Phanom,0,Mar,Deaths,2017,Streptococcus suis
Nong Bua Lam Phu,0,Mar,Deaths,2017,Streptococcus suis
Nong Khai,0,Mar,Deaths,2017,Streptococcus suis
Sakon Nakhon,0,Mar,Deaths,2017,Streptococcus suis
Udon Thani,0,Mar,Deaths,2017,Streptococcus suis
ZONE:09,2,Mar,Deaths,2017,Streptococcus suis
Buri Ram,0,Mar,Deaths,2017,Streptococcus suis
Chaiyaphum,0,Mar,Deaths,2017,Streptococcus suis
Nakhon Ratchasima,2,Mar,Deaths,2017,Streptococcus suis
Surin,0,Mar,Deaths,2017,Streptococcus suis
ZONE:10,0,Mar,Deaths,2017,Streptococcus suis
Amnat Charoen,0,Mar,Deaths,2017,Streptococcus suis
Mukdahan,0,Mar,Deaths,2017,Streptococcus suis
Si Sa Ket,0,Mar,Deaths,2017,Streptococcus suis
Ubon Ratchathani,0,Mar,Deaths,2017,Streptococcus suis
Yasothon,0,Mar,Deaths,2017,Streptococcus suis
ZONE:11,0,Mar,Deaths,2017,Streptococcus suis
Chumphon,0,Mar,Deaths,2017,Streptococcus suis
Krabi,0,Mar,Deaths,2017,Streptococcus suis
Nakhon Si Thammarat,0,Mar,Deaths,2017,Streptococcus suis
Phangnga,0,Mar,Deaths,2017,Streptococcus suis
Phuket,0,Mar,Deaths,2017,Streptococcus suis
Ranong,0,Mar,Deaths,2017,Streptococcus suis
Surat Thani,0,Mar,Deaths,2017,Streptococcus suis
ZONE:12,0,Mar,Deaths,2017,Streptococcus suis
Narathiwat,0,Mar,Deaths,2017,Streptococcus suis
Pattani,0,Mar,Deaths,2017,Streptococcus suis
Phatthalung,0,Mar,Deaths,2017,Streptococcus suis
Satun,0,Mar,Deaths,2017,Streptococcus suis
Songkhla,0,Mar,Deaths,2017,Streptococcus suis
Trang,0,Mar,Deaths,2017,Streptococcus suis
Yala,0,Mar,Deaths,2017,Streptococcus suis
ZONE:13,0,Mar,Deaths,2017,Streptococcus suis
Bangkok,0,Mar,Deaths,2017,Streptococcus suis
Total,41,Apr,Cases,2017,Streptococcus suis
ZONE:01,9,Apr,Cases,2017,Streptococcus suis
Chiang Mai,3,Apr,Cases,2017,Streptococcus suis
Chiang Rai,0,Apr,Cases,2017,Streptococcus suis
Lampang,0,Apr,Cases,2017,Streptococcus suis
Lamphun,0,Apr,Cases,2017,Streptococcus suis
Mae Hong Son,0,Apr,Cases,2017,Streptococcus suis
Nan,2,Apr,Cases,2017,Streptococcus suis
Phayao,2,Apr,Cases,2017,Streptococcus suis
Phrae,2,Apr,Cases,2017,Streptococcus suis
ZONE:02,13,Apr,Cases,2017,Streptococcus suis
Phetchabun,4,Apr,Cases,2017,Streptococcus suis
Phitsanulok,0,Apr,Cases,2017,Streptococcus suis
Sukhothai,3,Apr,Cases,2017,Streptococcus suis
Tak,0,Apr,Cases,2017,Streptococcus suis
Uttaradit,6,Apr,Cases,2017,Streptococcus suis
ZONE:03,12,Apr,Cases,2017,Streptococcus suis
Chai Nat,0,Apr,Cases,2017,Streptococcus suis
Kamphaeng Phet,2,Apr,Cases,2017,Streptococcus suis
Nakhon Sawan,7,Apr,Cases,2017,Streptococcus suis
Phichit,3,Apr,Cases,2017,Streptococcus suis
Uthai Thani,0,Apr,Cases,2017,Streptococcus suis
ZONE:04,1,Apr,Cases,2017,Streptococcus suis
Ang Thong,0,Apr,Cases,2017,Streptococcus suis
Lop Buri,0,Apr,Cases,2017,Streptococcus suis
Nakhon Nayok,0,Apr,Cases,2017,Streptococcus suis
Nonthaburi,0,Apr,Cases,2017,Streptococcus suis
P.Nakhon S.Ayutthaya,0,Apr,Cases,2017,Streptococcus suis
Pathum Thani,0,Apr,Cases,2017,Streptococcus suis
Saraburi,1,Apr,Cases,2017,Streptococcus suis
Sing Buri,0,Apr,Cases,2017,Streptococcus suis
ZONE:05,0,Apr,Cases,2017,Streptococcus suis
Kanchanaburi,0,Apr,Cases,2017,Streptococcus suis
Nakhon Pathom,0,Apr,Cases,2017,Streptococcus suis
Phetchaburi,0,Apr,Cases,2017,Streptococcus suis
Prachuap Khiri Khan,0,Apr,Cases,2017,Streptococcus suis
Ratchaburi,0,Apr,Cases,2017,Streptococcus suis
Samut Sakhon,0,Apr,Cases,2017,Streptococcus suis
Samut Songkhram,0,Apr,Cases,2017,Streptococcus suis
Suphan Buri,0,Apr,Cases,2017,Streptococcus suis
ZONE:06,1,Apr,Cases,2017,Streptococcus suis
Chachoengsao,0,Apr,Cases,2017,Streptococcus suis
Chanthaburi,0,Apr,Cases,2017,Streptococcus suis
Chon Buri,0,Apr,Cases,2017,Streptococcus suis
Prachin Buri,0,Apr,Cases,2017,Streptococcus suis
Rayong,0,Apr,Cases,2017,Streptococcus suis
Sa Kaeo,1,Apr,Cases,2017,Streptococcus suis
Samut Prakan,0,Apr,Cases,2017,Streptococcus suis
Trat,0,Apr,Cases,2017,Streptococcus suis
ZONE:07,0,Apr,Cases,2017,Streptococcus suis
Kalasin,0,Apr,Cases,2017,Streptococcus suis
Khon Kaen,0,Apr,Cases,2017,Streptococcus suis
Maha Sarakham,0,Apr,Cases,2017,Streptococcus suis
Roi Et,0,Apr,Cases,2017,Streptococcus suis
ZONE:08,1,Apr,Cases,2017,Streptococcus suis
Bungkan,0,Apr,Cases,2017,Streptococcus suis
Loei,0,Apr,Cases,2017,Streptococcus suis
Nakhon Phanom,1,Apr,Cases,2017,Streptococcus suis
Nong Bua Lam Phu,0,Apr,Cases,2017,Streptococcus suis
Nong Khai,0,Apr,Cases,2017,Streptococcus suis
Sakon Nakhon,0,Apr,Cases,2017,Streptococcus suis
Udon Thani,0,Apr,Cases,2017,Streptococcus suis
ZONE:09,3,Apr,Cases,2017,Streptococcus suis
Buri Ram,0,Apr,Cases,2017,Streptococcus suis
Chaiyaphum,0,Apr,Cases,2017,Streptococcus suis
Nakhon Ratchasima,3,Apr,Cases,2017,Streptococcus suis
Surin,0,Apr,Cases,2017,Streptococcus suis
ZONE:10,0,Apr,Cases,2017,Streptococcus suis
Amnat Charoen,0,Apr,Cases,2017,Streptococcus suis
Mukdahan,0,Apr,Cases,2017,Streptococcus suis
Si Sa Ket,0,Apr,Cases,2017,Streptococcus suis
Ubon Ratchathani,0,Apr,Cases,2017,Streptococcus suis
Yasothon,0,Apr,Cases,2017,Streptococcus suis
ZONE:11,0,Apr,Cases,2017,Streptococcus suis
Chumphon,0,Apr,Cases,2017,Streptococcus suis
Krabi,0,Apr,Cases,2017,Streptococcus suis
Nakhon Si Thammarat,0,Apr,Cases,2017,Streptococcus suis
Phangnga,0,Apr,Cases,2017,Streptococcus suis
Phuket,0,Apr,Cases,2017,Streptococcus suis
Ranong,0,Apr,Cases,2017,Streptococcus suis
Surat Thani,0,Apr,Cases,2017,Streptococcus suis
ZONE:12,0,Apr,Cases,2017,Streptococcus suis
Narathiwat,0,Apr,Cases,2017,Streptococcus suis
Pattani,0,Apr,Cases,2017,Streptococcus suis
Phatthalung,0,Apr,Cases,2017,Streptococcus suis
Satun,0,Apr,Cases,2017,Streptococcus suis
Songkhla,0,Apr,Cases,2017,Streptococcus suis
Trang,0,Apr,Cases,2017,Streptococcus suis
Yala,0,Apr,Cases,2017,Streptococcus suis
ZONE:13,1,Apr,Cases,2017,Streptococcus suis
Bangkok,1,Apr,Cases,2017,Streptococcus suis
Total,3,Apr,Deaths,2017,Streptococcus suis
ZONE:01,0,Apr,Deaths,2017,Streptococcus suis
Chiang Mai,0,Apr,Deaths,2017,Streptococcus suis
Chiang Rai,0,Apr,Deaths,2017,Streptococcus suis
Lampang,0,Apr,Deaths,2017,Streptococcus suis
Lamphun,0,Apr,Deaths,2017,Streptococcus suis
Mae Hong Son,0,Apr,Deaths,2017,Streptococcus suis
Nan,0,Apr,Deaths,2017,Streptococcus suis
Phayao,0,Apr,Deaths,2017,Streptococcus suis
Phrae,0,Apr,Deaths,2017,Streptococcus suis
ZONE:02,1,Apr,Deaths,2017,Streptococcus suis
Phetchabun,0,Apr,Deaths,2017,Streptococcus suis
Phitsanulok,0,Apr,Deaths,2017,Streptococcus suis
Sukhothai,0,Apr,Deaths,2017,Streptococcus suis
Tak,0,Apr,Deaths,2017,Streptococcus suis
Uttaradit,1,Apr,Deaths,2017,Streptococcus suis
ZONE:03,2,Apr,Deaths,2017,Streptococcus suis
Chai Nat,0,Apr,Deaths,2017,Streptococcus suis
Kamphaeng Phet,0,Apr,Deaths,2017,Streptococcus suis
Nakhon Sawan,0,Apr,Deaths,2017,Streptococcus suis
Phichit,2,Apr,Deaths,2017,Streptococcus suis
Uthai Thani,0,Apr,Deaths,2017,Streptococcus suis
ZONE:04,0,Apr,Deaths,2017,Streptococcus suis
Ang Thong,0,Apr,Deaths,2017,Streptococcus suis
Lop Buri,0,Apr,Deaths,2017,Streptococcus suis
Nakhon Nayok,0,Apr,Deaths,2017,Streptococcus suis
Nonthaburi,0,Apr,Deaths,2017,Streptococcus suis
P.Nakhon S.Ayutthaya,0,Apr,Deaths,2017,Streptococcus suis
Pathum Thani,0,Apr,Deaths,2017,Streptococcus suis
Saraburi,0,Apr,Deaths,2017,Streptococcus suis
Sing Buri,0,Apr,Deaths,2017,Streptococcus suis
ZONE:05,0,Apr,Deaths,2017,Streptococcus suis
Kanchanaburi,0,Apr,Deaths,2017,Streptococcus suis
Nakhon Pathom,0,Apr,Deaths,2017,Streptococcus suis
Phetchaburi,0,Apr,Deaths,2017,Streptococcus suis
Prachuap Khiri Khan,0,Apr,Deaths,2017,Streptococcus suis
Ratchaburi,0,Apr,Deaths,2017,Streptococcus suis
Samut Sakhon,0,Apr,Deaths,2017,Streptococcus suis
Samut Songkhram,0,Apr,Deaths,2017,Streptococcus suis
Suphan Buri,0,Apr,Deaths,2017,Streptococcus suis
ZONE:06,0,Apr,Deaths,2017,Streptococcus suis
Chachoengsao,0,Apr,Deaths,2017,Streptococcus suis
Chanthaburi,0,Apr,Deaths,2017,Streptococcus suis
Chon Buri,0,Apr,Deaths,2017,Streptococcus suis
Prachin Buri,0,Apr,Deaths,2017,Streptococcus suis
Rayong,0,Apr,Deaths,2017,Streptococcus suis
Sa Kaeo,0,Apr,Deaths,2017,Streptococcus suis
Samut Prakan,0,Apr,Deaths,2017,Streptococcus suis
Trat,0,Apr,Deaths,2017,Streptococcus suis
ZONE:07,0,Apr,Deaths,2017,Streptococcus suis
Kalasin,0,Apr,Deaths,2017,Streptococcus suis
Khon Kaen,0,Apr,Deaths,2017,Streptococcus suis
Maha Sarakham,0,Apr,Deaths,2017,Streptococcus suis
Roi Et,0,Apr,Deaths,2017,Streptococcus suis
ZONE:08,0,Apr,Deaths,2017,Streptococcus suis
Bungkan,0,Apr,Deaths,2017,Streptococcus suis
Loei,0,Apr,Deaths,2017,Streptococcus suis
Nakhon Phanom,0,Apr,Deaths,2017,Streptococcus suis
Nong Bua Lam Phu,0,Apr,Deaths,2017,Streptococcus suis
Nong Khai,0,Apr,Deaths,2017,Streptococcus suis
Sakon Nakhon,0,Apr,Deaths,2017,Streptococcus suis
Udon Thani,0,Apr,Deaths,2017,Streptococcus suis
ZONE:09,0,Apr,Deaths,2017,Streptococcus suis
Buri Ram,0,Apr,Deaths,2017,Streptococcus suis
Chaiyaphum,0,Apr,Deaths,2017,Streptococcus suis
Nakhon Ratchasima,0,Apr,Deaths,2017,Streptococcus suis
Surin,0,Apr,Deaths,2017,Streptococcus suis
ZONE:10,0,Apr,Deaths,2017,Streptococcus suis
Amnat Charoen,0,Apr,Deaths,2017,Streptococcus suis
Mukdahan,0,Apr,Deaths,2017,Streptococcus suis
Si Sa Ket,0,Apr,Deaths,2017,Streptococcus suis
Ubon Ratchathani,0,Apr,Deaths,2017,Streptococcus suis
Yasothon,0,Apr,Deaths,2017,Streptococcus suis
ZONE:11,0,Apr,Deaths,2017,Streptococcus suis
Chumphon,0,Apr,Deaths,2017,Streptococcus suis
Krabi,0,Apr,Deaths,2017,Streptococcus suis
Nakhon Si Thammarat,0,Apr,Deaths,2017,Streptococcus suis
Phangnga,0,Apr,Deaths,2017,Streptococcus suis
Phuket,0,Apr,Deaths,2017,Streptococcus suis
Ranong,0,Apr,Deaths,2017,Streptococcus suis
Surat Thani,0,Apr,Deaths,2017,Streptococcus suis
ZONE:12,0,Apr,Deaths,2017,Streptococcus suis
Narathiwat,0,Apr,Deaths,2017,Streptococcus suis
Pattani,0,Apr,Deaths,2017,Streptococcus suis
Phatthalung,0,Apr,Deaths,2017,Streptococcus suis
Satun,0,Apr,Deaths,2017,Streptococcus suis
Songkhla,0,Apr,Deaths,2017,Streptococcus suis
Trang,0,Apr,Deaths,2017,Streptococcus suis
Yala,0,Apr,Deaths,2017,Streptococcus suis
ZONE:13,0,Apr,Deaths,2017,Streptococcus suis
Bangkok,0,Apr,Deaths,2017,Streptococcus suis
Total,50,May,Cases,2017,Streptococcus suis
ZONE:01,15,May,Cases,2017,Streptococcus suis
Chiang Mai,1,May,Cases,2017,Streptococcus suis
Chiang Rai,1,May,Cases,2017,Streptococcus suis
Lampang,0,May,Cases,2017,Streptococcus suis
Lamphun,0,May,Cases,2017,Streptococcus suis
Mae Hong Son,0,May,Cases,2017,Streptococcus suis
Nan,5,May,Cases,2017,Streptococcus suis
Phayao,8,May,Cases,2017,Streptococcus suis
Phrae,0,May,Cases,2017,Streptococcus suis
ZONE:02,5,May,Cases,2017,Streptococcus suis
Phetchabun,0,May,Cases,2017,Streptococcus suis
Phitsanulok,0,May,Cases,2017,Streptococcus suis
Sukhothai,1,May,Cases,2017,Streptococcus suis
Tak,2,May,Cases,2017,Streptococcus suis
Uttaradit,2,May,Cases,2017,Streptococcus suis
ZONE:03,10,May,Cases,2017,Streptococcus suis
Chai Nat,0,May,Cases,2017,Streptococcus suis
Kamphaeng Phet,1,May,Cases,2017,Streptococcus suis
Nakhon Sawan,6,May,Cases,2017,Streptococcus suis
Phichit,3,May,Cases,2017,Streptococcus suis
Uthai Thani,0,May,Cases,2017,Streptococcus suis
ZONE:04,0,May,Cases,2017,Streptococcus suis
Ang Thong,0,May,Cases,2017,Streptococcus suis
Lop Buri,0,May,Cases,2017,Streptococcus suis
Nakhon Nayok,0,May,Cases,2017,Streptococcus suis
Nonthaburi,0,May,Cases,2017,Streptococcus suis
P.Nakhon S.Ayutthaya,0,May,Cases,2017,Streptococcus suis
Pathum Thani,0,May,Cases,2017,Streptococcus suis
Saraburi,0,May,Cases,2017,Streptococcus suis
Sing Buri,0,May,Cases,2017,Streptococcus suis
ZONE:05,1,May,Cases,2017,Streptococcus suis
Kanchanaburi,0,May,Cases,2017,Streptococcus suis
Nakhon Pathom,1,May,Cases,2017,Streptococcus suis
Phetchaburi,0,May,Cases,2017,Streptococcus suis
Prachuap Khiri Khan,0,May,Cases,2017,Streptococcus suis
Ratchaburi,0,May,Cases,2017,Streptococcus suis
Samut Sakhon,0,May,Cases,2017,Streptococcus suis
Samut Songkhram,0,May,Cases,2017,Streptococcus suis
Suphan Buri,0,May,Cases,2017,Streptococcus suis
ZONE:06,4,May,Cases,2017,Streptococcus suis
Chachoengsao,0,May,Cases,2017,Streptococcus suis
Chanthaburi,1,May,Cases,2017,Streptococcus suis
